,Metal/Alloy Q,Metal/Alloy V,Other Q ,Other V ,Scrap Q,Scrap V,Total Q,Total V
Brazil,126,298,5260,44200,75,104,5460,44600
Canada,91500,184000,439000,1510000,109000,202000,640000,1900000
China,489,2030,35200,245000,692000,918000,728000,1170000
France,5900,19700,11700,112000,2800,10200,20300,142000
Germany,1470,6070,9540,96500,5090,5140,16100,108000
Hong Kong,47,197,1870,18400,46700,59500,48600,78200
Italy,128,316,2290,31200,23,102,2440,31600
Japan,1680,6040,27200,278000,18100,36300,46900,321000
Kazakhstan,0,0,1,175,0,0,1,175
"Korea, Republic of",587,3460,33200,260000,146000,191000,180000,455000
Mexico,152000,316000,436000,1670000,128000,193000,716000,2180000
Netherlands,1450,3750,2680,22900,271,390,4400,27000
Philippines,1,8,428,4810,1760,1550,2180,6370
Russia,3,40,53,1140,2170,5380,2230,6560
Saudi Arabia,21,151,7220,32700,0,0,7240,32800
Singapore,141,1610,2840,32300,0,0,2980,33900
South Africa,12,28,101,933,0,0,113,961
Taiwan,3110,7740,4990,40100,33100,43200,41200,91100
Thailand,159,306,5570,29300,3480,4470,9210,34100
United Kingdom,879,3280,14900,145000,1080,2260,16900,151000
Venezuela,6,54,382,2650,3,180,391,2880
Other,3360,11900,162000,640000,165000,213000,330000,865000
